,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
74,100000084399_34,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
75,100000084399_35,100000084399,Самосвал карьерный 730E-8 №16,Самосвал карьерный 730E-8 №16,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
76,100000084402_17,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
77,100000084402_18,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
78,100000084402_19,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
79,100000084402_20,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
80,100000084402_21,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
81,100000084402_22,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
82,100000084402_23,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
83,100000084402_24,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
84,100000084402_25,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
85,100000084402_26,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
86,100000084402_27,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
87,100000084402_28,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
88,100000084402_29,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
89,100000084402_30,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
90,100000084402_31,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
91,100000084402_32,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
92,100000084402_33,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
93,100000084402_34,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
94,100000084402_35,100000084402,Самосвал карьерный 730E-8 №19,Самосвал карьерный 730E-8 №19,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
95,100000084403_17,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
