,Unnamed: 0,maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",maintanance_datetime,maintanance_date,maintanance_name,year,month,month_year
5104,5104,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-26 00:00:00,2025-12-26,ЕТО,2025,12,12_2025
5105,5105,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-27 00:00:00,2025-12-27,ЕТО,2025,12,12_2025
5106,5106,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-28 00:00:00,2025-12-28,ЕТО,2025,12,12_2025
5107,5107,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-29 00:00:00,2025-12-29,ЕТО,2025,12,12_2025
5108,5108,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-30 00:00:00,2025-12-30,ЕТО,2025,12,12_2025
5109,5109,100000084386_HD1500-7_EO,100000084386,23.7,0.3,2025-12-31 00:00:00,2025-12-31,ЕТО,2025,12,12_2025
5245,5245,100000084386_HD1500-7_TO1,100000084386,250.0,1.0,2025-12-04 09:00:00,2025-12-04,ТО1-250,2025,12,12_2025
5246,5246,100000084386_HD1500-7_TO1,100000084386,250.0,1.0,2025-12-15 00:00:00,2025-12-15,ТО1-250,2025,12,12_2025
5247,5247,100000084386_HD1500-7_TO1,100000084386,250.0,1.0,2025-12-25 15:00:00,2025-12-25,ТО1-250,2025,12,12_2025
5316,5316,100000084386_HD1500-7_TO-2,100000084386,500.0,9.8,2025-12-16 10:00:00,2025-12-16,ТО2-500,2025,12,12_2025
5351,5351,100000084386_HD1500-7_TO-3,100000084386,1000.0,12.0,2025-12-16 10:00:00,2025-12-16,ТО3-1000,2025,12,12_2025
5369,5369,100000084386_HD1500-7_TO-4,100000084386,2000.0,16.0,2025-12-16 18:30:00,2025-12-16,ТО4-2000,2025,12,12_2025
5428,5428,100000084386_HD1500-7_TR,100000084386,660.0,60.0,2025-12-02 06:00:00,2025-12-02,ТР,2025,12,12_2025
5429,5429,100000084386_HD1500-7_TR,100000084386,660.0,60.0,2025-12-30 08:00:00,2025-12-30,ТР,2025,12,12_2025
5467,5467,100000084386_HD1500-7_LINING_PART,100000084386,2000.0,24.0,2025-12-16 18:30:00,2025-12-16,СВч (частичная футеровка),2025,12,12_2025
6903,6903,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
6904,6904,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
6905,6905,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
6906,6906,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
6907,6907,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
6908,6908,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-06 00:00:00,2025-12-06,ЕТО,2025,12,12_2025
6909,6909,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-07 00:00:00,2025-12-07,ЕТО,2025,12,12_2025
6910,6910,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-08 00:00:00,2025-12-08,ЕТО,2025,12,12_2025
6911,6911,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-09 00:00:00,2025-12-09,ЕТО,2025,12,12_2025
6912,6912,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-10 00:00:00,2025-12-10,ЕТО,2025,12,12_2025
6913,6913,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-11 00:00:00,2025-12-11,ЕТО,2025,12,12_2025
6914,6914,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-12 00:00:00,2025-12-12,ЕТО,2025,12,12_2025
6915,6915,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-13 00:00:00,2025-12-13,ЕТО,2025,12,12_2025
6916,6916,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-14 00:00:00,2025-12-14,ЕТО,2025,12,12_2025
6917,6917,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-15 00:00:00,2025-12-15,ЕТО,2025,12,12_2025
6918,6918,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-16 00:00:00,2025-12-16,ЕТО,2025,12,12_2025
6919,6919,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-17 00:00:00,2025-12-17,ЕТО,2025,12,12_2025
6920,6920,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-18 00:00:00,2025-12-18,ЕТО,2025,12,12_2025
6921,6921,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-19 00:00:00,2025-12-19,ЕТО,2025,12,12_2025
6922,6922,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-20 00:00:00,2025-12-20,ЕТО,2025,12,12_2025
6923,6923,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-21 00:00:00,2025-12-21,ЕТО,2025,12,12_2025
6924,6924,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-22 00:00:00,2025-12-22,ЕТО,2025,12,12_2025
6925,6925,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-23 00:00:00,2025-12-23,ЕТО,2025,12,12_2025
6926,6926,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-24 00:00:00,2025-12-24,ЕТО,2025,12,12_2025
6927,6927,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-25 00:00:00,2025-12-25,ЕТО,2025,12,12_2025
6928,6928,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-26 00:00:00,2025-12-26,ЕТО,2025,12,12_2025
6929,6929,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-27 00:00:00,2025-12-27,ЕТО,2025,12,12_2025
6930,6930,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-28 00:00:00,2025-12-28,ЕТО,2025,12,12_2025
6931,6931,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-29 00:00:00,2025-12-29,ЕТО,2025,12,12_2025
6932,6932,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-30 00:00:00,2025-12-30,ЕТО,2025,12,12_2025
6933,6933,100000084387_HD1500-7_EO,100000084387,23.7,0.3,2025-12-31 00:00:00,2025-12-31,ЕТО,2025,12,12_2025
7069,7069,100000084387_HD1500-7_TO1,100000084387,250.0,1.0,2025-12-04 09:00:00,2025-12-04,ТО1-250,2025,12,12_2025
7070,7070,100000084387_HD1500-7_TO1,100000084387,250.0,1.0,2025-12-15 00:00:00,2025-12-15,ТО1-250,2025,12,12_2025
7071,7071,100000084387_HD1500-7_TO1,100000084387,250.0,1.0,2025-12-25 15:00:00,2025-12-25,ТО1-250,2025,12,12_2025
7140,7140,100000084387_HD1500-7_TO-2,100000084387,500.0,9.8,2025-12-16 10:00:00,2025-12-16,ТО2-500,2025,12,12_2025
7175,7175,100000084387_HD1500-7_TO-3,100000084387,1000.0,12.0,2025-12-16 10:00:00,2025-12-16,ТО3-1000,2025,12,12_2025
7193,7193,100000084387_HD1500-7_TO-4,100000084387,2000.0,16.0,2025-12-16 18:30:00,2025-12-16,ТО4-2000,2025,12,12_2025
7252,7252,100000084387_HD1500-7_TR,100000084387,660.0,60.0,2025-12-02 06:00:00,2025-12-02,ТР,2025,12,12_2025
7253,7253,100000084387_HD1500-7_TR,100000084387,660.0,60.0,2025-12-30 08:00:00,2025-12-30,ТР,2025,12,12_2025
7291,7291,100000084387_HD1500-7_LINING_PART,100000084387,2000.0,24.0,2025-12-16 18:30:00,2025-12-16,СВч (частичная футеровка),2025,12,12_2025
8727,8727,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
8728,8728,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
8729,8729,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
8730,8730,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
8731,8731,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
8732,8732,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-06 00:00:00,2025-12-06,ЕТО,2025,12,12_2025
8733,8733,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-07 00:00:00,2025-12-07,ЕТО,2025,12,12_2025
8734,8734,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-08 00:00:00,2025-12-08,ЕТО,2025,12,12_2025
8735,8735,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-09 00:00:00,2025-12-09,ЕТО,2025,12,12_2025
8736,8736,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-10 00:00:00,2025-12-10,ЕТО,2025,12,12_2025
8737,8737,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-11 00:00:00,2025-12-11,ЕТО,2025,12,12_2025
8738,8738,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-12 00:00:00,2025-12-12,ЕТО,2025,12,12_2025
8739,8739,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-13 00:00:00,2025-12-13,ЕТО,2025,12,12_2025
8740,8740,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-14 00:00:00,2025-12-14,ЕТО,2025,12,12_2025
8741,8741,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-15 00:00:00,2025-12-15,ЕТО,2025,12,12_2025
8742,8742,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-16 00:00:00,2025-12-16,ЕТО,2025,12,12_2025
8743,8743,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-17 00:00:00,2025-12-17,ЕТО,2025,12,12_2025
8744,8744,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-18 00:00:00,2025-12-18,ЕТО,2025,12,12_2025
8745,8745,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-19 00:00:00,2025-12-19,ЕТО,2025,12,12_2025
8746,8746,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-20 00:00:00,2025-12-20,ЕТО,2025,12,12_2025
8747,8747,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-21 00:00:00,2025-12-21,ЕТО,2025,12,12_2025
8748,8748,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-22 00:00:00,2025-12-22,ЕТО,2025,12,12_2025
8749,8749,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-23 00:00:00,2025-12-23,ЕТО,2025,12,12_2025
8750,8750,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-24 00:00:00,2025-12-24,ЕТО,2025,12,12_2025
8751,8751,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-25 00:00:00,2025-12-25,ЕТО,2025,12,12_2025
8752,8752,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-26 00:00:00,2025-12-26,ЕТО,2025,12,12_2025
8753,8753,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-27 00:00:00,2025-12-27,ЕТО,2025,12,12_2025
8754,8754,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-28 00:00:00,2025-12-28,ЕТО,2025,12,12_2025
8755,8755,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-29 00:00:00,2025-12-29,ЕТО,2025,12,12_2025
8756,8756,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-30 00:00:00,2025-12-30,ЕТО,2025,12,12_2025
8757,8757,100000084388_HD1500-7_EO,100000084388,23.7,0.3,2025-12-31 00:00:00,2025-12-31,ЕТО,2025,12,12_2025
8893,8893,100000084388_HD1500-7_TO1,100000084388,250.0,1.0,2025-12-04 09:00:00,2025-12-04,ТО1-250,2025,12,12_2025
8894,8894,100000084388_HD1500-7_TO1,100000084388,250.0,1.0,2025-12-15 00:00:00,2025-12-15,ТО1-250,2025,12,12_2025
8895,8895,100000084388_HD1500-7_TO1,100000084388,250.0,1.0,2025-12-25 15:00:00,2025-12-25,ТО1-250,2025,12,12_2025
