,Дата,Категория работ,"Запланированный простой, час","Межсервисная наработка, час",Наименование ЕО
152,02.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
153,03.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
154,04.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
155,05.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
156,06.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
157,07.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
158,08.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
159,09.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
160,10.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
161,11.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
162,12.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
163,13.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
164,14.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
165,15.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
166,16.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
167,17.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
168,18.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
169,19.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
170,20.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
171,21.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
172,22.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
173,23.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
174,24.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
175,25.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
176,26.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
177,27.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
178,28.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
179,29.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
180,30.06.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
181,01.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
182,02.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
183,03.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
184,04.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
185,05.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
186,06.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
187,07.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
188,08.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
189,09.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
190,10.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
191,11.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
192,12.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
193,13.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
194,14.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
195,15.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
196,16.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
197,17.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
198,18.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
199,19.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
200,20.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
201,21.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
202,22.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
203,23.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
204,24.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
205,25.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
206,26.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
207,27.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
208,28.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
209,29.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
210,30.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
211,31.07.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
212,01.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
213,02.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
214,03.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
215,04.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
216,05.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
217,06.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
218,07.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
219,08.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
220,09.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
221,10.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
222,11.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
223,12.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
224,13.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
225,14.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
226,15.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
227,16.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
228,17.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
229,18.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
230,19.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
231,20.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
232,21.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
233,22.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
234,23.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
235,24.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
236,25.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
237,26.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
238,27.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
239,28.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
240,29.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
241,30.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
242,31.08.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
243,01.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
244,02.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
245,03.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
246,04.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
247,05.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
248,06.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
249,07.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
250,08.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
251,09.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
252,10.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
253,11.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
254,12.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
255,13.09.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
